"Customer ID#","Account No.","Currency","Type","Balance"
"ID1","BOS492681","CAD","CURRENT","426505"
"ID2","BOS760122","EUR","SAVINGS","87278"
"ID3","BOS473393","INR","CURRENT","476638"
"ID4","BOS538154","HKD","SAVINGS","425024"
"ID5","BOS399125","USD","SAVINGS","523096"
"ID6","BOS841596","GBP","SAVINGS","328986"
"ID7","BOS389107","EUR","SAVINGS","988563"
"ID8","BOS281858","GBP","CURRENT","113316"
"ID9","BOS951739","HKD","SAVINGS","338559"
"ID10","BOS6077810","USD","CURRENT","486557"
"ID11","BOS3981011","HKD","SAVINGS","115582"
"ID12","BOS1237512","USD","CURRENT","798520"
"ID13","BOS3211313","CHF","CURRENT","159971"
"ID14","BOS5583914","EUR","SAVINGS","82316"
"ID15","BOS6392515","CAD","CURRENT","769396"
"ID16","BOS5974716","USD","SAVINGS","437850"
"ID17","BOS8486817","AUD","CURRENT","959323"
"ID18","BOS11818","HKD","SAVINGS","577639"
"ID19","BOS103019","USD","CURRENT","346344"
"ID20","BOS9596820","SEK","CURRENT","826594"
"ID21","BOS6222521","HKD","CURRENT","345622"
"ID22","BOS7978422","INR","SAVINGS","391422"
"ID23","BOS8184623","SGD","CURRENT","910377"
"ID24","BOS7713524","HKD","CURRENT","163695"
"ID25","BOS7791725","INR","CURRENT","90968"
"ID26","BOS755826","CHF","CURRENT","490720"
"ID27","BOS8706127","HKD","SAVINGS","767267"
"ID28","BOS9283928","CAD","SAVINGS","657049"
"ID29","BOS6803829","SEK","CURRENT","565210"
"ID30","BOS8975830","SGD","CURRENT","842604"
"ID31","BOS7797231","USD","CURRENT","920309"
"ID32","BOS8475832","USD","SAVINGS","609787"
"ID33","BOS4399433","CHF","SAVINGS","95565"
"ID34","BOS1648734","SGD","CURRENT","983301"
"ID35","BOS2805735","EUR","SAVINGS","269335"
"ID36","BOS2615336","SGD","CURRENT","596191"
"ID37","BOS6228937","USD","CURRENT","904270"
"ID38","BOS7536938","GBP","CURRENT","846031"
"ID39","BOS5298939","SEK","CURRENT","737197"
"ID40","BOS7778040","SGD","SAVINGS","996986"
"ID41","BOS3625141","SEK","SAVINGS","434435"
"ID42","BOS3049842","AUD","SAVINGS","257607"
"ID43","BOS7530543","CAD","CURRENT","35633"
"ID44","BOS3520744","HKD","CURRENT","563190"
